State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total_calls,Total_charges,Intl_call_ratio,Day_call_ratio,Night_call_ratio,Evening_call_ratio,Avg_charge_per_call,Day_charge_per_min,Eve_charge_per_min,Night_charge_per_min,Intl_charge_per_min,Day_call_efficiency,Eve_call_efficiency,Night_call_efficiency,Intl_call_efficiency,Total_minutes,Charge_per_min,Monthly_Revenue,Customer_Lifetime_Months,CLV,Revenue_per_call,Revenue_per_minute
LA,117,408,No,No,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,False,271,73.32,0.014760147601476014,0.35793357933579334,0.33210332103321033,0.2952029520295203,0.2705535055350553,0.1700271002710027,0.08501137656427758,0.04499536607970343,0.2701149425287357,1.902061855670103,4.3950000000000005,2.397777777777778,2.175,760.6000000000001,0.09639758085721796,18.799999999999997,3.9,73.32,0.2705535055350553,0.09639758085721796
IN,65,415,No,No,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,True,337,54.2,0.017804154302670624,0.4065281899109792,0.3293768545994065,0.24629080118694363,0.16083086053412463,0.1700232378001549,0.08498905908096281,0.045019157088122604,0.27007874015748035,0.9423357664233576,2.753012048192771,1.8810810810810812,2.1166666666666667,579.1000000000001,0.0935935071662925,25.01538461538462,2.1666666666666665,54.2,0.16083086053412463,0.0935935071662925
NY,161,415,No,No,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,True,301,92.29,0.029900332225913623,0.22259136212624583,0.42524916943521596,0.3222591362126246,0.30661129568106316,0.16999098828477022,0.08499056010069227,0.0450186799501868,0.27037037037037037,4.96865671641791,3.2762886597938143,1.2546875,0.6000000000000001,816.7,0.11300355087547446,17.19689440993789,5.366666666666666,92.29,0.30661129568106316,0.11300355087547446
SC,111,415,No,No,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,False,316,41.05,0.0189873417721519,0.3259493670886076,0.3322784810126582,0.3227848101265823,0.12990506329113924,0.17001811594202898,0.08499635833940276,0.044989451476793244,0.2701298701298701,1.071844660194175,1.3460784313725491,1.8057142857142856,1.2833333333333334,445.0,0.09224719101123595,11.094594594594593,3.7,41.05,0.12990506329113924,0.09224719101123595
HI,49,510,No,No,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,False,317,49.6,0.0031545741324921135,0.36908517350157727,0.28391167192429023,0.3438485804416404,0.15646687697160883,0.16999161777032692,0.08498372849837285,0.044991606043648574,0.2702702702702703,1.0196581196581196,1.973394495412844,1.9855555555555555,11.1,524.1999999999999,0.09462037390309044,30.367346938775512,1.6333333333333333,49.6,0.15646687697160883,0.09462037390309044
AK,36,408,No,Yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,False,323,48.42,0.018575851393188854,0.39628482972136225,0.33746130030959753,0.2476780185758514,0.14990712074303406,0.16999316473000683,0.0849846153846154,0.04501160092807424,0.27034482758620687,1.14296875,2.03125,1.186238532110092,2.4166666666666665,452.6,0.1069818824569156,40.35,1.2,48.42,0.14990712074303406,0.1069818824569156
MI,65,415,No,No,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,False,365,59.36000000000001,0.0136986301369863,0.3287671232876712,0.3232876712328767,0.33424657534246577,0.16263013698630138,0.16999526739233317,0.08499384993849939,0.04498886414253898,0.2696969696969697,1.7608333333333335,1.3327868852459015,1.1415254237288135,2.6399999999999997,521.8,0.11376006132617864,27.39692307692308,2.1666666666666665,59.36000000000001,0.16263013698630138,0.11376006132617864
ID,119,415,No,No,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,True,325,55.53,0.009230769230769232,0.3507692307692308,0.28,0.36,0.17086153846153845,0.1700188560653677,0.0849978383052313,0.04497206703910615,0.27045454545454545,1.3956140350877193,1.976923076923077,1.5736263736263736,2.9333333333333336,542.3999999999999,0.10237831858407083,13.999159663865546,3.966666666666667,55.53,0.17086153846153845,0.10237831858407083
VA,10,408,No,No,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,False,241,63.620000000000005,0.024896265560165973,0.46473029045643155,0.23651452282157676,0.27385892116182575,0.2639834024896266,0.17001612036539496,0.08501577287066248,0.045014144271570015,0.27017543859649124,1.6616071428571428,2.881818181818182,4.96140350877193,1.9000000000000001,670.4999999999999,0.09488441461595826,190.86,0.3333333333333333,63.620000000000005,0.2639834024896266,0.09488441461595826
WI,68,415,No,No,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,False,340,55.36000000000001,0.008823529411764706,0.20588235294117646,0.3029411764705882,0.4823529411764706,0.16282352941176473,0.1700268817204301,0.08498985801217038,0.04499229583975346,0.2702479338842975,2.125714285714286,1.5030487804878048,1.2601941747572816,4.033333333333333,537.2,0.10305286671630678,24.423529411764708,2.2666666666666666,55.36000000000001,0.16282352941176473,0.10305286671630678
