State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,KMeans_Cluster,Hierarchical_Cluster,DBSCAN_Cluster,GMM_Cluster,Recency,Frequency,Monetary,High_Usage,High_Complaints,Total_Calls,Avg_Minutes_Per_Call,Intl_Usage_Ratio,Charge_Per_Minute,Day_Night_Ratio,Intl_Call_Ratio
LA,117,408,No,No,0,184.5,97,31.37,351.6,80,29.89,215.8,90,9.71,8.7,4,2.35,1,False,0,0,-1,0,1,760.6000000000001,73.32,1,0,271,2.796323529411765,0.01142331932773109,0.09627100840336132,0.8510147601476015,0.014705882352941176
IN,65,415,No,No,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4,True,0,0,-1,0,4,579.1000000000001,54.2,0,1,337,1.713313609467456,0.021892777107395272,0.0934321668677814,0.6153479504289799,0.01775147928994083
NY,161,415,No,No,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4,True,2,0,-1,1,4,816.7,92.29,1,1,301,2.7043046357615896,0.006603888956830133,0.11286535404182463,2.0600247524752473,0.029801324503311258
SC,111,415,No,No,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2,False,1,0,-1,1,2,445.0,41.05,0,0,316,1.4037854889589905,0.01726457399103139,0.09204035874439462,0.5792235047219307,0.01892744479495268
HI,49,510,No,No,0,119.3,117,20.28,215.1,109,18.28,178.7,90,8.04,11.1,1,3.0,1,False,1,1,-1,2,1,524.1999999999999,49.6,0,0,317,1.6484276729559746,0.021134805788271135,0.09444021325209445,0.6638842515303284,0.0031446540880503146
AK,36,408,No,Yes,30,146.3,128,24.87,162.5,80,13.81,129.3,109,5.82,14.5,6,3.92,0,False,0,0,-1,1,0,452.6,48.42,0,0,323,1.3969135802469137,0.03196649029982363,0.10674603174603174,1.1227935533384497,0.018518518518518517
MI,65,415,No,No,0,211.3,120,35.92,162.6,122,13.82,134.7,118,6.06,13.2,5,3.56,3,False,0,0,-1,0,3,521.8,59.36000000000001,0,0,365,1.4256830601092896,0.0252486610558531,0.11354246365723032,1.5571112748710392,0.01366120218579235
ID,119,415,No,No,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5,True,0,0,-1,0,5,542.3999999999999,55.53,0,1,325,1.6638036809815946,0.016194331983805675,0.1021899153478101,1.1033287101248266,0.009202453987730062
VA,10,408,No,No,0,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,False,1,0,-1,2,2,670.4999999999999,63.620000000000005,1,0,241,2.7706611570247928,0.016976917349218173,0.09474311243484738,0.6557434813248766,0.024793388429752067
WI,68,415,No,No,0,148.8,70,25.3,246.5,164,20.95,129.8,103,5.84,12.1,3,3.27,3,False,0,0,-1,2,3,537.2,55.36000000000001,0,0,340,1.575366568914956,0.02248234856930509,0.10286138981791156,1.1376146788990826,0.008797653958944282
